file_path,file_name,source_type,product_name,dataset_name,title,platform_id,scene_id,start_time,end_time,x_size,y_size,band_id,band_wavelength,scene_center_lat,scene_center_lon
raw/goes_cmi/ABI-L2-CMIPC_2025_117_18_OR_ABI-L2-CMIPC-M6C13_G19_s20251171801172_e20251171803557_c20251171804066.nc,ABI-L2-CMIPC_2025_117_18_OR_ABI-L2-CMIPC-M6C13_G19_s20251171801172_e20251171803557_c20251171804066.nc,CMI,ABI-L2-CMIPC-M6C13,OR_ABI-L2-CMIPC-M6C13_G19_s20251171801172_e20251171803557_c20251171804066.nc,ABI L2 Cloud and Moisture Imagery,G19,CONUS,2025-04-27 18:01:17.200000+00:00,2025-04-27 18:03:55.700000+00:00,2500,1500,13,10.329999923706055,,
raw/goes_cmi/ABI-L2-CMIPC_2025_118_18_OR_ABI-L2-CMIPC-M6C13_G19_s20251181801173_e20251181803558_c20251181804080.nc,ABI-L2-CMIPC_2025_118_18_OR_ABI-L2-CMIPC-M6C13_G19_s20251181801173_e20251181803558_c20251181804080.nc,CMI,ABI-L2-CMIPC-M6C13,OR_ABI-L2-CMIPC-M6C13_G19_s20251181801173_e20251181803558_c20251181804080.nc,ABI L2 Cloud and Moisture Imagery,G19,CONUS,2025-04-28 18:01:17.300000+00:00,2025-04-28 18:03:55.800000+00:00,2500,1500,13,10.329999923706055,,
raw/goes_cmi/ABI-L2-CMIPC_2025_119_18_OR_ABI-L2-CMIPC-M6C13_G19_s20251191801174_e20251191803559_c20251191804069.nc,ABI-L2-CMIPC_2025_119_18_OR_ABI-L2-CMIPC-M6C13_G19_s20251191801174_e20251191803559_c20251191804069.nc,CMI,ABI-L2-CMIPC-M6C13,OR_ABI-L2-CMIPC-M6C13_G19_s20251191801174_e20251191803559_c20251191804069.nc,ABI L2 Cloud and Moisture Imagery,G19,CONUS,2025-04-29 18:01:17.400000+00:00,2025-04-29 18:03:55.900000+00:00,2500,1500,13,10.329999923706055,,
raw/goes_cmi/ABI-L2-CMIPC_2025_120_18_OR_ABI-L2-CMIPC-M6C13_G19_s20251201801175_e20251201803560_c20251201804059.nc,ABI-L2-CMIPC_2025_120_18_OR_ABI-L2-CMIPC-M6C13_G19_s20251201801175_e20251201803560_c20251201804059.nc,CMI,ABI-L2-CMIPC-M6C13,OR_ABI-L2-CMIPC-M6C13_G19_s20251201801175_e20251201803560_c20251201804059.nc,ABI L2 Cloud and Moisture Imagery,G19,CONUS,2025-04-30 18:01:17.500000+00:00,2025-04-30 18:03:56+00:00,2500,1500,13,10.329999923706055,,
raw/goes_cmi/ABI-L2-CMIPC_2025_121_18_OR_ABI-L2-CMIPC-M6C13_G19_s20251211801176_e20251211803561_c20251211804069.nc,ABI-L2-CMIPC_2025_121_18_OR_ABI-L2-CMIPC-M6C13_G19_s20251211801176_e20251211803561_c20251211804069.nc,CMI,ABI-L2-CMIPC-M6C13,OR_ABI-L2-CMIPC-M6C13_G19_s20251211801176_e20251211803561_c20251211804069.nc,ABI L2 Cloud and Moisture Imagery,G19,CONUS,2025-05-01 18:01:17.600000+00:00,2025-05-01 18:03:56.100000+00:00,2500,1500,13,10.329999923706055,,
raw/goes_cmi/ABI-L2-CMIPC_2025_122_18_OR_ABI-L2-CMIPC-M6C13_G19_s20251221801177_e20251221803561_c20251221804075.nc,ABI-L2-CMIPC_2025_122_18_OR_ABI-L2-CMIPC-M6C13_G19_s20251221801177_e20251221803561_c20251221804075.nc,CMI,ABI-L2-CMIPC-M6C13,OR_ABI-L2-CMIPC-M6C13_G19_s20251221801177_e20251221803561_c20251221804075.nc,ABI L2 Cloud and Moisture Imagery,G19,CONUS,2025-05-02 18:01:17.700000+00:00,2025-05-02 18:03:56.100000+00:00,2500,1500,13,10.329999923706055,,
raw/goes_cmi/ABI-L2-CMIPC_2025_123_18_OR_ABI-L2-CMIPC-M6C13_G19_s20251231801178_e20251231803563_c20251231804029.nc,ABI-L2-CMIPC_2025_123_18_OR_ABI-L2-CMIPC-M6C13_G19_s20251231801178_e20251231803563_c20251231804029.nc,CMI,ABI-L2-CMIPC-M6C13,OR_ABI-L2-CMIPC-M6C13_G19_s20251231801178_e20251231803563_c20251231804029.nc,ABI L2 Cloud and Moisture Imagery,G19,CONUS,2025-05-03 18:01:17.800000+00:00,2025-05-03 18:03:56.300000+00:00,2500,1500,13,10.329999923706055,,
raw/goes_cmi/ABI-L2-CMIPC_2025_124_18_OR_ABI-L2-CMIPC-M6C13_G19_s20251241801179_e20251241803564_c20251241804059.nc,ABI-L2-CMIPC_2025_124_18_OR_ABI-L2-CMIPC-M6C13_G19_s20251241801179_e20251241803564_c20251241804059.nc,CMI,ABI-L2-CMIPC-M6C13,OR_ABI-L2-CMIPC-M6C13_G19_s20251241801179_e20251241803564_c20251241804059.nc,ABI L2 Cloud and Moisture Imagery,G19,CONUS,2025-05-04 18:01:17.900000+00:00,2025-05-04 18:03:56.400000+00:00,2500,1500,13,10.329999923706055,,
raw/goes_cmi/ABI-L2-CMIPC_2025_125_18_OR_ABI-L2-CMIPC-M6C13_G19_s20251251801180_e20251251803565_c20251251804056.nc,ABI-L2-CMIPC_2025_125_18_OR_ABI-L2-CMIPC-M6C13_G19_s20251251801180_e20251251803565_c20251251804056.nc,CMI,ABI-L2-CMIPC-M6C13,OR_ABI-L2-CMIPC-M6C13_G19_s20251251801180_e20251251803565_c20251251804056.nc,ABI L2 Cloud and Moisture Imagery,G19,CONUS,2025-05-05 18:01:18+00:00,2025-05-05 18:03:56.500000+00:00,2500,1500,13,10.329999923706055,,
raw/goes_cmi/ABI-L2-CMIPC_2025_126_18_OR_ABI-L2-CMIPC-M6C13_G19_s20251261801170_e20251261803555_c20251261804085.nc,ABI-L2-CMIPC_2025_126_18_OR_ABI-L2-CMIPC-M6C13_G19_s20251261801170_e20251261803555_c20251261804085.nc,CMI,ABI-L2-CMIPC-M6C13,OR_ABI-L2-CMIPC-M6C13_G19_s20251261801170_e20251261803555_c20251261804085.nc,ABI L2 Cloud and Moisture Imagery,G19,CONUS,2025-05-06 18:01:17+00:00,2025-05-06 18:03:55.500000+00:00,2500,1500,13,10.329999923706055,,
